date,new_cases,cum_cases
2019-12-31,27.0,27.0
2020-01-01,0.0,27.0
2020-01-02,0.0,27.0
2020-01-03,17.0,44.0
2020-01-04,0.0,44.0
2020-01-05,15.0,59.0
2020-01-06,0.0,59.0
2020-01-07,0.0,59.0
2020-01-08,0.0,59.0
2020-01-09,0.0,59.0
2020-01-10,0.0,59.0
2020-01-11,0.0,59.0
2020-01-12,0.0,59.0
2020-01-13,1.0,60.0
2020-01-14,1.0,61.0
2020-01-15,1.0,62.0
2020-01-16,0.0,62.0
2020-01-17,5.0,67.0
2020-01-18,17.0,84.0
2020-01-19,136.0,220.0
2020-01-20,20.0,240.0
2020-01-21,153.0,393.0
2020-01-22,142.0,535.0
2020-01-23,97.0,632.0
2020-01-24,266.0,898.0
2020-01-25,453.0,1351.0
2020-01-26,673.0,2024.0
2020-01-27,797.0,2821.0
2020-01-28,1767.0,4588.0
2020-01-29,1480.0,6068.0
2020-01-30,1757.0,7825.0
2020-01-31,2001.0,9826.0
2020-02-01,2111.0,11937.0
2020-02-02,4749.0,16686.0
2020-02-03,3100.0,19786.0
2020-02-04,4011.0,23797.0
2020-02-05,3745.0,27542.0
2020-02-06,3160.0,30702.0
2020-02-07,3532.0,34234.0
2020-02-08,2734.0,36968.0
2020-02-09,3027.0,39995.0
2020-02-10,2538.0,42533.0
2020-02-11,2042.0,44575.0
2020-02-12,378.0,44953.0
2020-02-13,15153.0,60106.0
2020-02-14,6484.0,66590.0
2020-02-15,2076.0,68666.0
2020-02-16,2113.0,70779.0
2020-02-17,1936.0,72715.0
2020-02-18,1794.0,74509.0
2020-02-19,421.0,74930.0
2020-02-20,547.0,75477.0
2020-02-21,629.0,76106.0
2020-02-22,1761.0,77867.0
2020-02-23,323.0,78190.0
2020-02-24,564.0,78754.0
2020-02-25,853.0,79607.0
2020-02-26,963.0,80570.0
2020-02-27,1360.0,81930.0
2020-02-28,1386.0,83316.0
2020-02-29,1891.0,85207.0
2020-03-01,2381.0,87588.0
2020-03-02,1983.0,89571.0
2020-03-03,2593.0,92164.0
2020-03-04,2308.0,94472.0
2020-03-05,2811.0,97283.0
2020-03-06,3913.0,101196.0
2020-03-07,4095.0,105291.0
2020-03-08,3949.0,109240.0
2020-03-09,4172.0,113412.0
2020-03-10,4822.0,118234.0
2020-03-11,7661.0,125895.0
2020-03-12,5790.0,131685.0
2020-03-13,14384.0,146069.0
2020-03-14,11074.0,157143.0
2020-03-15,11269.0,168412.0
2020-03-16,14808.0,183220.0
2020-03-17,15943.0,199163.0
2020-03-18,19559.0,218722.0
2020-03-19,27049.0,245771.0
2020-03-20,30775.0,276546.0
2020-03-21,31991.0,308537.0
2020-03-22,34855.0,343392.0
2020-03-23,42835.0,386227.0
2020-03-24,41179.0,427406.0
2020-03-25,51001.0,478407.0
2020-03-26,62877.0,541284.0
2020-03-27,65041.0,606325.0
2020-03-28,67278.0,673603.0
2020-03-29,59237.0,732840.0
2020-03-30,65294.0,798134.0
2020-03-31,76845.0,874979.0
2020-04-01,82785.0,957764.0
2020-04-02,83063.0,1040827.0
2020-04-03,83551.0,1124378.0
2020-04-04,58389.0,1182767.0
2020-04-05,72592.0,1255359.0
2020-04-06,73143.0,1328502.0
2020-04-07,69829.0,1398331.0
2020-04-08,83355.0,1481686.0
2020-04-09,87019.0,1568705.0
2020-04-10,85535.0,1654240.0
2020-04-11,74311.0,1728551.0
2020-04-12,119694.0,1848245.0
2020-04-13,70732.0,1918977.0
2020-04-14,83967.0,2002944.0
2020-04-15,77148.0,2080092.0
2020-04-16,95551.0,2175643.0
2020-04-17,87997.0,2263640.0
2020-04-18,77240.0,2340880.0
2020-04-19,76605.0,2417485.0
2020-04-20,76018.0,2493503.0
2020-04-21,75749.0,2569252.0
2020-04-22,81247.0,2650499.0
2020-04-23,84249.0,2734748.0
2020-04-24,84096.0,2818844.0
2020-04-25,82259.0,2901103.0
2020-04-26,71588.0,2972691.0
2020-04-27,70192.0,3042883.0
2020-04-28,75540.0,3118423.0
2020-04-29,77110.0,3195533.0
2020-04-30,83495.0,3279028.0
